127.0.0.1 - - [15/Oct/2019:10:41:30 +0900] "GET / HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET / HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /img/logo.png HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /js/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /js/bootstrap.js HTTP/1.1" 200 131637
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /css/header/style.css HTTP/1.1" 200 88662
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:35 +0900] "GET /css/header/responsive.css HTTP/1.1" 200 12499
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [15/Oct/2019:10:41:39 +0900] "GET /views/Test/apiTest.jsp HTTP/1.1" 200 9074
